Kategori,Alt Kategori,Kod,İngilizce Açıklama,Tr Açıklama,ICF Gösterim ekranı
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b250,Taste function,Tat alma fonksiyonu,b250 — Taste function — Tat alma fonksiyonu  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b255,Smell function,Koku alma fonksiyonu,b255 — Smell function — Koku alma fonksiyonu  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b260,Proprioceptive function,Propriyoseptif (pozisyon/hareket algısı) fonksiyonu,b260 — Proprioceptive function — Propriyoseptif (pozisyon hissi) fonksiyon  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b265,Touch function,Dokunma fonksiyonu,b265 — Touch function — Dokunma fonksiyonu  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b270,Sensory functions related to temperature and other stimuli,Sıcaklık ve diğer uyaranlarla ilişkili duyusal fonksiyonlar,b270 — Sensory functions related to temperature and other stimuli — Sıcaklık ve diğer uyaranlara ilişkin duyusal fonksiyonlar  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b280,Sensation of pain,Ağrı duyumu,b280 — Sensation of pain — Ağrı hissi  
b,b3 — Ses ve Konuşma Fonksiyonları — Voice and Speech Functions,b310,Voice functions,Ses üretimi fonksiyonları,b310 — Voice functions — Ses fonksiyonları  
b,b3 — Ses ve Konuşma Fonksiyonları — Voice and Speech Functions,b320,Articulation functions,Artikülasyon (seslerin doğru çıkarımı) fonksiyonları,b320 — Articulation functions — Artikülasyon (boğumlama) fonksiyonları  
b,b3 — Ses ve Konuşma Fonksiyonları — Voice and Speech Functions,b330,Fluency and rhythm of speech functions,Konuşma akıcılığı ve ritmi fonksiyonları,b330 — Fluency and rhythm of speech functions — Konuşma akıcılığı ve ritmi fonksiyonları  
b,b3 — Ses ve Konuşma Fonksiyonları — Voice and Speech Functions,b340,Alternative vocalization functions,Alternatif ses üretim fonksiyonları,b340 — Alternative vocalization functions — Alternatif ses çıkarma fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b410,Heart functions,Kalp fonksiyonları,b410 — Heart functions — Kalp fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b415,Blood vessel functions,Kan damarlarının işlevleri,b415 — Blood vessel functions — Kan damarlarının fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b420,Blood pressure functions,Kan basıncı düzenleme işlevleri,b420 — Blood pressure functions — Kan basıncı fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b430,Hematological system functions,Hematolojik sistemin işlevleri,b430 — Hematological system functions — Hematolojik sistem fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b435,Immunological system functions,Bağışıklık sisteminin işlevleri,b435 — Immunological system functions — Bağışıklık sistemi fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b440,Respiration functions,Solunumun fizyolojik işlevleri,b440 — Respiration functions — Solunum fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b445,Respiratory muscle functions,Solunum kaslarının işlevleri,b445 — Respiratory muscle functions — Solunum kası fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b450,Additional respiratory functions,Diğer solunumla ilgili işlevler,b450 — Additional respiratory functions — Ek solunum fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b455,Exercise tolerance functions,Egzersiz toleransı,b455 — Exercise tolerance functions — Egzersiz toleransı fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b460,Sensations associated with cardiovascular and respiratory functions,Kardiyovasküler ve solunum sistemlerine ilişkin duyusal algılar,b460 — Sensations associated with cardiovascular and respiratory functions — Kardiyovasküler ve solunum fonksiyonlarına ilişkin duyular  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b465,Sensations associated with the digestive system,Gastrointestinal sistemle ilgili duyusal algılar,b465 — Sensations associated with the digestive system — Sindirim sistemine ilişkin duyular  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b470,Hunger functions,Açlık hissi ve düzenlenmesi,b470 — Hunger functions — Açlık fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b475,Digestive functions,Sindirim sistemi işlevleri,b475 — Digestive functions — Sindirim fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b480,Assimilation functions,Besinlerin emilimi ve asimilasyonu,b480 — Assimilation functions — Emilim (asimilasyon) fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b485,Defecation functions,Dışkılama işlevleri,b485 — Defecation functions — Dışkılama fonksiyonları  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b490,General metabolic functions,Genel metabolik süreçlerin işlevleri,b490 — General metabolic functions — Genel metabolik fonksiyonlar  
b,"b4 — Kardiyovasküler, Hematolojik, İmmün ve Solunum Sistem Fonksiyonları — Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",b495,Thermoregulatory functions,Vücut ısısı düzenleme (termoregülasyon) işlevleri,b495 — Thermoregulatory functions — Termoregülasyon fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b510,Ingestion functions,Besin alımıyla ilgili işlevler,b510 — Ingestion functions — Besin alma fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b515,Digestive functions,Gastrointestinal sistemin fizyolojik işlevleri,b515 — Digestive functions — Sindirim fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b520,"Water, mineral and electrolyte balance functions","Su, mineral ve elektrolit dengesi işlevleri","b520 — Water, mineral and electrolyte balance functions — Su, mineral ve elektrolit dengesi fonksiyonları  "
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b525,Defecation functions,Dışkılama süreçlerinin düzenlenmesi,b525 — Defecation functions — Dışkılama fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b530,Weight maintenance functions,Vücut ağırlığı dengesinin korunması,b530 — Weight maintenance functions — Vücut ağırlığını koruma fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b535,Sensations associated with the digestive system,Sindirim sistemine ilişkin duyusal algılar,b535 — Sensations associated with the digestive system — Sindirim sistemine ilişkin duyular  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b540,General metabolic functions,Genel metabolizma işlevleri,b540 — General metabolic functions — Genel metabolik fonksiyonlar  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b545,Water balance functions,Vücut sıvı dengesi işlevleri,b545 — Water balance functions — Su dengesi fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b550,Thermoregulatory functions,Isı düzenleme (termoregülasyon) işlevleri,b550 — Thermoregulatory functions — Termoregülasyon fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b555,Endocrine gland functions,Endokrin bezlerin salgı işlevleri,b555 — Endocrine gland functions — Endokrin bez fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b560,Fat metabolism functions,Yağ metabolizması işlevleri,b560 — Fat metabolism functions — Yağ metabolizması fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b565,Carbohydrate metabolism functions,Karbonhidrat metabolizması işlevleri,b565 — Carbohydrate metabolism functions — Karbonhidrat metabolizması fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b570,Protein metabolism functions,Protein metabolizması işlevleri,b570 — Protein metabolism functions — Protein metabolizması fonksiyonları  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b580,Metabolism of vitamins and minerals,Vitamin ve mineral metabolizması,b580 — Metabolism of vitamins and minerals — Vitamin ve mineral metabolizması  
b,"b5 — Sindirim, Metabolik ve Endokrin Sistem Fonksiyonları — Functions of the Digestive, Metabolic and Endocrine Systems",b585,Functions of the gall bladder and pancreas,Safra kesesi ve pankreasın fonksiyonları,b585 — Functions of the gall bladder and pancreas — Safra kesesi ve pankreas fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b610,Urinary excretory functions,İdrar üretimi ve boşaltımı işlevleri,b610 — Urinary excretory functions — İdrar boşaltım fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b620,Urination functions,İdrar yapma işlevleri,b620 — Urination functions — İdrar yapma fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b630,Sensations associated with urinary functions,Üriner sisteme ilişkin duyusal algılar,b630 — Sensations associated with urinary functions — İdrar fonksiyonlarına ilişkin duyular  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b640,Sexual functions,Cinsel işlevler,b640 — Sexual functions — Cinsel fonksiyonlar  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b650,Menstruation functions,Menstrüasyon (adet döngüsü) işlevleri,b650 — Menstruation functions — Menstrüasyon (adet görme) fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b660,Procreation functions,Üreme (prokreasyon) işlevleri,b660 — Procreation functions — Üreme fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b670,Pregnancy functions,Gebelikle ilgili fizyolojik işlevler,b670 — Pregnancy functions — Gebelik fonksiyonları  
b,b6 — Genitoüriner ve Üreme Fonksiyonları — Genitourinary and Reproductive Functions,b680,Functions of the pelvic floor,Pelvik taban kaslarının işlevleri,b680 — Functions of the pelvic floor — Pelvik taban fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b710,Mobility of joint functions,Eklem hareketliliği işlevleri,b710 — Mobility of joint functions — Eklem hareketliliği fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b715,Stability of joint functions,Eklem stabilitesinin sağlanması,b715 — Stability of joint functions — Eklem stabilitesi fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b720,Mobility of bone functions,Kemik hareketliliği işlevleri,b720 — Mobility of bone functions — Kemik hareketliliği fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b730,Muscle power functions,Kas gücü işlevleri,b730 — Muscle power functions — Kas gücü fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b735,Muscle tone functions,Kas tonusu düzenlenmesi,b735 — Muscle tone functions — Kas tonusu fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b740,Muscle endurance functions,Kas dayanıklılığı işlevleri,b740 — Muscle endurance functions — Kas dayanıklılığı fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b750,Motor reflex functions,Motor reflekslerin işlevleri,b750 — Motor reflex functions — Motor refleks fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b755,Involuntary movement reaction functions,İstem dışı hareketlere karşı gelişen tepkilerin işlevleri,b755 — Involuntary movement reaction functions — İstem dışı hareket tepkisi fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b760,Control of voluntary movement functions,İstemli hareketlerin kontrolü,b760 — Control of voluntary movement functions — İstemli hareket kontrolü fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b765,Involuntary movement functions,İstem dışı (otonom) hareket işlevleri,b765 — Involuntary movement functions — İstem dışı hareket fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b770,Gait pattern functions,Yürüme ve lokomosyon paternleri,b770 — Gait pattern functions — Yürüme paterni fonksiyonları  
b,b7 — Nöromüsküloskeletal ve İlgili Hareket Fonksiyonları — Neuromusculoskeletal and Movement-Related Functions,b780,Sensations related to muscles and movement functions,Kas-iskelet sistemiyle ilgili duyusal algılar,b780 — Sensations related to muscles and movement functions — Kas ve hareketle ilişkili duyular  
b,b8 — Cilt ve İlgili Yapıların Fonksiyonları — Functions of the Skin and Related Structures,b810,Protective functions of the skin,Cildin bariyer (koruyucu) işlevleri,b810 — Protective functions of the skin — Cildin koruyucu fonksiyonları  
b,b8 — Cilt ve İlgili Yapıların Fonksiyonları — Functions of the Skin and Related Structures,b820,Repair functions of the skin,Cilt dokusunun onarım işlevleri,b820 — Repair functions of the skin — Cilt onarım fonksiyonları  
b,b8 — Cilt ve İlgili Yapıların Fonksiyonları — Functions of the Skin and Related Structures,b830,Other functions of the skin,Cildin diğer fizyolojik işlevleri,b830 — Other functions of the skin — Cildin diğer fonksiyonları  
b,b8 — Cilt ve İlgili Yapıların Fonksiyonları — Functions of the Skin and Related Structures,b840,Sensation related to the skin,Deriye ilişkin duyusal algılar,b840 — Sensation related to the skin — Cilde ilişkin duyular  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s110,Structure of brain,Beyin yapısı,s110 — Structure of brain — Beyin yapısı  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s120,Spinal cord and related structures,Omurilik ve ilgili yapılar,s120 — Spinal cord and related structures — Omurilik ve ilgili yapılar  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s130,Structure of meninges,Meninkslerin (beyin zarlarının) yapısı,s130 — Structure of meninges — Meninkslerin yapısı (beyin zarları)  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s140,Structure of sympathetic nervous system,Sempatik sinir sistemi yapısı,s140 — Structure of sympathetic nervous system — Sempatik sinir sistemi yapısı  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s150,Structure of parasympathetic nervous system,Parasempatik sinir sistemi yapısı,s150 — Structure of parasympathetic nervous system — Parasempatik sinir sistemi yapısı  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s160,Structure of cranial nerves,Kranial (kafa sinirleri) sinirlerin yapısı,s160 — Structure of cranial nerves — Kranial sinirlerin yapısı  
s,s1 – Beyin ve ilgili yapılar — Brain and related structures,s199,"Structures of the nervous system, unspecified",Belirtilmemiş sinir sistemi yapıları,"s199 — Structures of the nervous system, unspecified — Belirtilmemiş sinir sistemi yapıları  "
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s210,Structure of eye,Göz yapısı,s210 — Structure of eye — Göz yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s220,Structure of eyeball,Göz küresi yapısı,s220 — Structure of eyeball — Göz küresi yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s230,Structures around eye,Göz çevresindeki yapılar,s230 — Structures around eye — Göz çevresindeki yapılar  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s240,Structure of external ear,Dış kulak yapısı,s240 — Structure of external ear — Dış kulak yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s250,Structure of middle ear,Orta kulak yapısı,s250 — Structure of middle ear — Orta kulak yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s260,Structure of inner ear,İç kulak yapısı,s260 — Structure of inner ear — İç kulak yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s270,Structure of auditory system,İşitme sistemi yapısı,s270 — Structure of auditory system — İşitme sistemi yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s280,Structure of vestibular system,Vestibüler (denge) sistemi yapısı,s280 — Structure of vestibular system — Vestibüler (denge) sistemi yapısı  
s,"s2 – Göz ve kulak ile ilgili yapılar — The eye, ear and related structures",s299,"Structures of the eye, ear and related structures, unspecified","Belirtilmemiş göz, kulak ve ilgili yapıların yapısı","s299 — Structures of the eye, ear and related structures, unspecified — Belirtilmemiş göz, kulak ve ilgili yapılar  "
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s310,Structure of nose,Burun yapısı,s310 — Structure of nose — Burun yapısı  
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s320,Structure of mouth,Ağız yapısı,s320 — Structure of mouth — Ağız yapısı  
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s330,Structure of pharynx,Farinks (yutak) yapısı,s330 — Structure of pharynx — Farinks (yutak) yapısı  
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s340,Structure of larynx,Larinks (gırtlak) yapısı,s340 — Structure of larynx — Larinks (gırtlak) yapısı  
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s350,Structure of vocal cords,Ses telleri yapısı,s350 — Structure of vocal cords — Ses telleri yapısı  
s,s3 – Ses üretimi ve konuşma ile ilgili yapılar — Structures involved in voice and speech,s399,"Structures involved in voice and speech, unspecified",Belirtilmemiş ses ve konuşmayla ilgili yapılar,"s399 — Structures involved in voice and speech, unspecified — Belirtilmemiş ses ve konuşma ile ilgili yapılar  "
s,"s4 – Kardiyovasküler, immünolojik ve solunum sistemleri yapıları — Structures of the cardiovascular, immunological and respiratory systems",s410,Structure of cardiovascular system,Kardiyovasküler sistemin yapısı,s410 — Structure of cardiovascular system — Kardiyovasküler sistemin yapısı  
s,"s4 – Kardiyovasküler, immünolojik ve solunum sistemleri yapıları — Structures of the cardiovascular, immunological and respiratory systems",s420,Structure of blood vessels,Kan damarlarının yapısı,s420 — Structure of blood vessels — Kan damarlarının yapısı  
s,"s4 – Kardiyovasküler, immünolojik ve solunum sistemleri yapıları — Structures of the cardiovascular, immunological and respiratory systems",s430,Structure of the immune system,Bağışıklık sisteminin yapısı,s430 — Structure of the immune system — Bağışıklık sisteminin yapısı  
s,"s4 – Kardiyovasküler, immünolojik ve solunum sistemleri yapıları — Structures of the cardiovascular, immunological and respiratory systems",s440,Structure of respiratory system,Solunum sisteminin yapısı,s440 — Structure of respiratory system — Solunum sisteminin yapısı  
s,"s4 – Kardiyovasküler, immünolojik ve solunum sistemleri yapıları — Structures of the cardiovascular, immunological and respiratory systems",s499,"Structures of cardiovascular, immunological and respiratory systems, unspecified","Belirtilmemiş kardiyovasküler, immün ve solunum sistemleri yapıları","s499 — Structures of cardiovascular, immunological and respiratory systems, unspecified — Belirtilmemiş kardiyovasküler, immün ve solunum sistemleri yapıları  "
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s510,Structure of mouth and teeth,Ağız ve dişlerin yapısı,s510 — Structure of mouth and teeth — Ağız ve diş yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s520,Structure of salivary glands,Tükürük bezlerinin yapısı,s520 — Structure of salivary glands — Tükürük bezlerinin yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s530,Structure of esophagus,Yemek borusu (özofagus) yapısı,s530 — Structure of esophagus — Özofagus (yemek borusu) yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s540,Structure of stomach,Mide yapısı,s540 — Structure of stomach — Mide yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s550,Structure of intestine,Bağırsak yapısı,s550 — Structure of intestine — Bağırsak yapısı  
s,"s5 – Sindirim, metabolik ve endokrin sistemlerin yapıları — Structures related to the digestive, metabolic and endocrine systems",s560,Structure of liver,Karaciğer yapısı,s560 — Structure of liver — Karaciğer yapısı  
